試合回数,黒プレイヤー,白プレイヤー,黒が勝った回数,白が勝った回数,引き分けの回数,黒の勝率,白の勝率,引き分け率
1000,mini,ランダムくん,865,113,22,86.5,11.3,2.1999999999999997
1000,mini,ランダムくん,846,132,22,84.6,13.200000000000001,2.1999999999999997
