試合回数,黒プレイヤー,白プレイヤー,黒が勝った回数,白が勝った回数,引き分けの回数,黒の勝率,白の勝率,引き分け率
1000,loser,ランダムくん,902,79,19,90.2,7.9,1.9
1000,loser,ランダムくん,926,62,12,92.60000000000001,6.2,1.2
1000,loser,ランダムくん,882,94,24,88.2,9.4,2.4
1000,loser,ランダムくん,865,109,26,86.5,10.9,2.6
1000,loser,ランダムくん,874,104,22,87.4,10.4,2.1999999999999997
1000,loser,ランダムくん,852,119,29,85.2,11.899999999999999,2.9000000000000004
1000,loser,ランダムくん,873,101,26,87.3,10.100000000000001,2.6
1000,loser,ランダムくん,874,94,32,87.4,9.4,3.2
1000,loser,ランダムくん,865,104,31,86.5,10.4,3.1
