試合回数,黒プレイヤー,白プレイヤー,黒が勝った回数,白が勝った回数,引き分けの回数,黒の勝率,白の勝率,引き分け率
1000,multi,ランダムくん,627,321,52,62.7,32.1,5.2,model/SGD/10000brwr_1000e_3n.npz'/'model/SGD/10sb_10000brwr_1000e_3n.npz'.1/1
1000,multi,ランダムくん,672,288,40,67.2,28.799999999999997,4.0,model/SGD/10000brwr_1000e_3n.npz'/'model/SGD/10sb_10000brwr_1000e_5n.npz'.1/1
1000,multi,ランダムくん,686,278,36,68.60000000000001,27.800000000000004,3.5999999999999996,model/SGD/10000brwr_1000e_3n.npz'/'model/SGD/10sb_20000brwr_1000e_3n.npz'.1/1
1000,multi,ランダムくん,653,301,46,65.3,30.099999999999998,4.6,'model/SGD/10000brwr_1000e_3n.npz'/'model/SGD/10sb_30000brwr_1000e_3n.npz',1/1
1000,multi,ランダムくん,619,328,53,61.9,32.800000000000004,5.3,'model/SGD/10000brwr_1000e_3n.npz'/'model/SGD/10sb_30000brwr_1000e_5n.npz',1/1
1000,multi,ランダムくん,647,319,34,64.7,31.900000000000002,3.4000000000000004,'model/SGD/10000brwr_1000e_3n.npz'/ 'model/SGD/10sb_50000brwr_1000e_3n.npz',/1/1
1000,multi,ランダムくん,643,314,43,64.3,31.4,4.3
